end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790398860,,,,,0.12,0.18,0.0,0.0
1790398920,,,,,0.12,0.18,0.0,0.0
1790398980,0.17,0.18,0.17,0.17,0.13,0.17,46.2,46.2
1790399040,0.17,0.17,0.17,0.17,0.11,0.16,52.57,98.77
1790399100,0.16,0.16,0.16,0.16,0.11,0.16,7.49,106.26
1790399160,0.16,0.17,0.16,0.17,0.12,0.13,56.64,162.9
1790399220,,,,,0.12,0.13,0.0,162.9
1790399280,,,,,0.11,0.13,0.0,162.9
1790399340,0.11,0.11,0.11,0.11,0.09,0.11,5.0,167.9
1790399400,0.13,0.13,0.13,0.13,0.11,0.15,1.0,167.9
1790399460,,,,,0.14,0.15,0.0,167.9
1790399520,,,,,0.13,0.15,0.0,167.9
1790399580,0.15,0.15,0.15,0.15,0.17,0.2,2.0,169.9
1790399640,0.2,0.24,0.2,0.24,0.15,0.2,29.95,173.9
1790399700,,,,,0.18,0.21,0.0,173.9
1790399760,,,,,0.2,0.24,0.0,173.9
1790399820,0.24,0.26,0.24,0.26,0.24,0.26,150.97,324.87
1790399880,0.29,0.3,0.28,0.3,0.3,0.32,78.23,375.15
1790399940,0.3,0.39,0.3,0.39,0.38,0.4,173.03,548.18
1790400000,0.38,0.38,0.37,0.37,0.27,0.31,235.19,704.6
1790400060,,,,,0.22,0.25,0.0,704.6
1790400120,,,,,0.18,0.21,0.0,704.6
1790400180,,,,,0.18,0.21,0.0,704.6
1790400240,0.14,0.14,0.14,0.14,0.12,0.14,5.0,709.6
1790400300,,,,,0.09,0.1,0.0,709.6
1790400360,0.09,0.09,0.09,0.09,0.11,0.14,1.0,710.6
1790400420,0.11,0.11,0.11,0.11,0.08,0.1,4.1,714.7
1790400480,0.11,0.16,0.11,0.16,0.22,0.28,86.0,800.7
1790400540,,,,,0.31,0.33,0.0,800.7
1790400600,,,,,0.27,0.31,0.0,800.7
1790400660,0.33,0.33,0.33,0.33,0.31,0.33,5.78,806.48
1790400720,0.33,0.37,0.33,0.37,0.36,0.38,81.98,879.15
1790400780,0.36,0.41,0.36,0.41,0.41,0.42,96.95,955.34
1790400840,0.42,0.46,0.42,0.46,0.45,0.48,183.62,1138.96
1790400900,0.46,0.46,0.46,0.46,0.46,0.47,60.02,1198.98
1790400960,,,,,0.46,0.47,0.0,1198.98
1790401020,0.47,0.49,0.47,0.49,0.47,0.5,92.0,1237.98
1790401080,0.49,0.49,0.36,0.36,0.36,0.38,135.0,1142.98
1790401140,0.33,0.33,0.18,0.18,0.15,0.19,57.81,1141.67
1790401200,0.17,0.17,0.15,0.15,0.15,0.19,291.8,1160.12
1790401260,0.16,0.25,0.16,0.25,0.15,0.18,465.89,1202.12
1790401320,0.12,0.15,0.12,0.15,0.13,0.17,67.96,1228.12
1790401380,0.13,0.13,0.13,0.13,0.13,0.14,1.27,1229.39
1790401440,0.13,0.13,0.1,0.1,0.1,0.11,55.82,1253.12
1790401500,0.1,0.1,0.09,0.09,0.09,0.1,59.22,1269.81
1790401560,0.09,0.09,0.09,0.09,0.08,0.09,187.05,1151.74
1790401620,0.08,0.08,0.05,0.05,0.04,0.05,4.4,1155.14
1790401680,0.06,0.07,0.06,0.07,0.04,0.05,152.72,1286.14
1790401740,0.04,0.04,0.04,0.04,0.03,0.04,1.0,1287.14
1790401800,,,,,0.03,0.04,0.0,1287.14
1790401860,0.03,0.03,0.03,0.03,0.02,0.03,2.0,1287.14
1790401920,0.02,0.29,0.01,0.24,0.24,0.32,894.17,1887.87
1790401980,0.23,0.23,0.17,0.17,0.17,0.19,199.31,2087.18
1790402040,0.17,0.26,0.14,0.25,0.24,0.25,193.0,2241.77
1790402100,0.26,0.48,0.26,0.36,0.43,0.45,428.64,2236.27
1790402160,0.43,0.43,0.18,0.18,0.14,0.19,430.72,2183.45
1790402220,0.15,0.16,0.13,0.16,0.13,0.17,75.01,2128.17
1790402280,0.15,0.29,0.06,0.29,0.25,0.31,1130.1,2483.5
1790402340,0.3,0.56,0.02,0.03,0.01,0.02,1291.15,2423.49
1790402400,0.01,0.01,0.01,0.01,0.0,0.02,44.99,2423.49
1790402460,,,,,0.0,1.0,0.0,2423.49
