end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790362860,,,,,0.14,0.2,0.0,0.0
1790362920,,,,,0.13,0.19,0.0,0.0
1790362980,,,,,0.15,0.18,0.0,0.0
1790363040,,,,,0.14,0.18,0.0,0.0
1790363100,0.18,0.18,0.18,0.18,0.15,0.18,26.95,26.95
1790363160,,,,,0.16,0.18,0.0,26.95
1790363220,0.19,0.21,0.19,0.2,0.17,0.21,454.36,481.31
1790363280,,,,,0.19,0.21,0.0,481.31
1790363340,0.22,0.22,0.22,0.22,0.19,0.21,31.04,512.35
1790363400,,,,,0.14,0.18,0.0,512.35
1790363460,,,,,0.16,0.19,0.0,512.35
1790363520,0.19,0.19,0.19,0.19,0.18,0.22,24.9,537.25
1790363580,0.23,0.23,0.23,0.23,0.2,0.23,57.74,594.99
1790363640,0.2,0.23,0.2,0.23,0.21,0.23,8.08,599.07
1790363700,,,,,0.21,0.23,0.0,599.07
1790363760,0.23,0.23,0.23,0.23,0.21,0.23,204.06,803.13
1790363820,0.23,0.24,0.23,0.24,0.19,0.22,204.0,1007.13
1790363880,0.22,0.22,0.22,0.22,0.19,0.22,24.13,1031.26
1790363940,0.22,0.24,0.22,0.24,0.22,0.24,11.95,1043.21
1790364000,,,,,0.2,0.23,0.0,1043.21
1790364060,0.2,0.2,0.2,0.2,0.21,0.26,37.12,1016.17
1790364120,,,,,0.22,0.26,0.0,1016.17
1790364180,0.26,0.26,0.26,0.26,0.23,0.27,3.65,1019.82
1790364240,,,,,0.23,0.26,0.0,1019.82
1790364300,0.26,0.26,0.26,0.26,0.21,0.28,91.41,1111.23
1790364360,0.23,0.23,0.23,0.23,0.2,0.22,578.0,1689.23
1790364420,0.22,0.23,0.22,0.23,0.23,0.24,269.09,1948.24
1790364480,0.24,0.24,0.24,0.24,0.23,0.24,115.78,2064.02
1790364540,,,,,0.23,0.26,0.0,2064.02
1790364600,0.27,0.27,0.27,0.27,0.25,0.28,100.0,2164.02
1790364660,0.26,0.26,0.26,0.26,0.26,0.27,18.28,2182.3
1790364720,0.28,0.32,0.28,0.32,0.27,0.28,341.4,2523.7
1790364780,,,,,0.28,0.29,0.0,2523.7
1790364840,0.3,0.31,0.3,0.31,0.29,0.3,115.0,2528.7
1790364900,,,,,0.27,0.3,0.0,2528.7
1790364960,0.28,0.28,0.28,0.28,0.28,0.3,3.17,2531.87
1790365020,0.31,0.31,0.31,0.31,0.32,0.33,15.38,2547.25
1790365080,0.33,0.34,0.33,0.34,0.33,0.35,158.77,2706.02
1790365140,,,,,0.34,0.35,0.0,2706.02
1790365200,0.31,0.31,0.28,0.28,0.27,0.28,8.1,2713.12
1790365260,,,,,0.26,0.27,0.0,2713.12
1790365320,0.26,0.26,0.19,0.24,0.2,0.22,6.1,2708.12
1790365380,0.27,0.27,0.27,0.27,0.21,0.25,17.61,2725.73
1790365440,,,,,0.26,0.3,0.0,2725.73
1790365500,,,,,0.26,0.3,0.0,2725.73
1790365560,0.35,0.35,0.35,0.35,0.34,0.35,0.1,2725.73
1790365620,0.35,0.44,0.35,0.44,0.42,0.43,47.0,2771.39
1790365680,0.45,0.45,0.41,0.42,0.41,0.45,102.41,2868.48
1790365740,0.39,0.45,0.39,0.45,0.4,0.43,34.15,2840.55
1790365800,0.37,0.43,0.35,0.43,0.4,0.42,99.65,2851.0
1790365860,0.46,0.46,0.38,0.44,0.47,0.48,0.3,2851.1
1790365920,0.48,0.52,0.48,0.51,0.49,0.53,307.49,3158.59
1790365980,0.49,0.53,0.38,0.51,0.49,0.51,100.08,3215.69
1790366040,0.49,0.54,0.34,0.49,0.5,0.53,376.11,3274.07
1790366100,0.51,0.58,0.44,0.49,0.53,0.57,705.57,3206.41
1790366160,0.61,0.63,0.5,0.51,0.52,0.57,217.11,3377.23
1790366220,0.42,0.64,0.34,0.62,0.64,0.66,822.1,3429.79
1790366280,0.65,0.9,0.62,0.9,0.85,0.9,1074.8,3840.17
1790366340,0.9,0.99,0.8,0.98,0.98,0.99,1812.64,3433.39
1790366400,0.99,0.99,0.96,0.99,0.99,1.0,174.57,3430.3
1790366460,,,,,0.0,1.0,0.0,3430.3
