end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789894860,,,,,0.15,0.2,0.0,0.0
1789894920,0.2,0.24,0.2,0.24,0.18,0.25,320.0,320.0
1789894980,0.25,0.25,0.25,0.25,0.22,0.24,49.4,369.4
1789895040,,,,,0.22,0.24,0.0,369.4
1789895100,,,,,0.23,0.24,0.0,369.4
1789895160,,,,,0.19,0.24,0.0,369.4
1789895220,,,,,0.22,0.24,0.0,369.4
1789895280,0.24,0.25,0.24,0.25,0.19,0.26,11.0,369.4
1789895340,,,,,0.18,0.25,0.0,369.4
1789895400,,,,,0.2,0.25,0.0,369.4
1789895460,,,,,0.23,0.27,0.0,369.4
1789895520,,,,,0.2,0.25,0.0,369.4
1789895580,,,,,0.24,0.27,0.0,369.4
1789895640,0.27,0.27,0.27,0.27,0.24,0.27,6.7,376.1
1789895700,0.24,0.27,0.24,0.27,0.21,0.26,24.08,393.71
1789895760,,,,,0.19,0.26,0.0,393.71
1789895820,,,,,0.23,0.28,0.0,393.71
1789895880,,,,,0.22,0.28,0.0,393.71
1789895940,,,,,0.24,0.29,0.0,393.71
1789896000,,,,,0.28,0.3,0.0,393.71
1789896060,0.3,0.34,0.3,0.34,0.28,0.34,14.38,408.09
1789896120,,,,,0.35,0.36,0.0,408.09
1789896180,0.35,0.35,0.35,0.35,0.35,0.36,41.0,408.09
1789896240,0.36,0.36,0.36,0.36,0.37,0.39,34.0,408.09
1789896300,,,,,0.35,0.38,0.0,408.09
1789896360,,,,,0.38,0.39,0.0,408.09
1789896420,0.38,0.38,0.38,0.38,0.36,0.38,175.0,408.09
1789896480,0.36,0.38,0.36,0.38,0.35,0.39,31.22,409.31
1789896540,0.39,0.39,0.39,0.39,0.37,0.4,12.0,421.31
1789896600,,,,,0.34,0.43,0.0,421.31
1789896660,,,,,0.34,0.43,0.0,421.31
1789896720,,,,,0.36,0.44,0.0,421.31
1789896780,0.44,0.44,0.44,0.44,0.33,0.4,10000.0,10421.31
1789896840,,,,,0.3,0.38,0.0,10421.31
1789896900,0.26,0.28,0.21,0.21,0.16,0.22,138.12,10558.43
1789896960,0.15,0.15,0.15,0.15,0.15,0.21,1.22,10557.21
1789897020,,,,,0.13,0.19,0.0,10557.21
1789897080,,,,,0.09,0.16,0.0,10557.21
1789897140,,,,,0.09,0.15,0.0,10557.21
1789897200,,,,,0.09,0.1,0.0,10557.21
1789897260,,,,,0.09,0.14,0.0,10557.21
1789897320,0.09,0.09,0.07,0.07,0.06,0.08,3.0,10560.21
1789897380,0.06,0.06,0.05,0.05,0.04,0.07,2.0,10562.21
1789897440,0.07,0.09,0.07,0.09,0.09,0.14,148.12,10516.21
1789897500,0.14,0.14,0.14,0.14,0.04,0.09,202.11,10718.32
1789897560,,,,,0.07,0.14,0.0,10718.32
1789897620,0.15,0.15,0.15,0.15,0.07,0.13,1.0,10718.32
1789897680,,,,,0.12,0.18,0.0,10718.32
1789897740,,,,,0.12,0.13,0.0,10718.32
1789897800,0.12,0.12,0.12,0.12,0.06,0.1,0.25,10718.32
1789897860,0.12,0.12,0.12,0.12,0.12,0.19,69.24,10757.56
1789897920,,,,,0.07,0.11,0.0,10757.56
1789897980,0.1,0.1,0.1,0.1,0.07,0.11,9.4,10766.96
1789898040,0.09,0.09,0.09,0.09,0.07,0.1,17.2,10783.23
1789898100,0.12,0.12,0.07,0.07,0.07,0.12,17.86,10765.62
1789898160,0.09,0.09,0.07,0.07,0.06,0.1,50.4,10732.22
1789898220,0.04,0.04,0.03,0.03,0.02,0.03,2.0,10733.35
1789898280,0.02,0.02,0.01,0.01,0.01,0.02,126.0,10669.35
1789898340,,,,,0.0,0.02,0.0,10669.35
1789898400,,,,,0.0,0.01,0.0,10669.35
1789898460,,,,,0.0,1.0,0.0,10669.35
