end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790208060,0.27,0.27,0.21,0.21,0.21,0.23,241.0,239.0
1790208120,0.21,0.23,0.21,0.23,0.23,0.24,319.31,558.31
1790208180,0.23,0.24,0.23,0.23,0.23,0.24,201.78,760.09
1790208240,0.23,0.24,0.23,0.24,0.23,0.24,57.0,817.09
1790208300,0.24,0.24,0.24,0.24,0.23,0.24,5.0,822.09
1790208360,0.23,0.24,0.23,0.24,0.23,0.24,25.95,848.04
1790208420,0.24,0.24,0.24,0.24,0.23,0.25,77.0,925.04
1790208480,0.25,0.25,0.23,0.24,0.23,0.25,16.11,941.15
1790208540,0.24,0.24,0.24,0.24,0.23,0.24,2.0,943.15
1790208600,0.23,0.23,0.23,0.23,0.2,0.22,5.0,948.15
1790208660,,,,,0.18,0.2,0.0,948.15
1790208720,0.19,0.19,0.16,0.16,0.15,0.16,29.02,939.09
1790208780,0.15,0.15,0.15,0.15,0.17,0.2,80.96,858.13
1790208840,0.2,0.2,0.2,0.2,0.18,0.21,23.67,881.8
1790208900,0.2,0.2,0.2,0.2,0.18,0.2,71.21,953.01
1790208960,0.2,0.25,0.2,0.24,0.25,0.26,129.07,1069.08
1790209020,,,,,0.22,0.26,0.0,1069.08
1790209080,0.22,0.22,0.22,0.22,0.22,0.26,13.0,1082.08
1790209140,0.26,0.26,0.26,0.26,0.25,0.26,0.91,1082.99
1790209200,0.26,0.26,0.26,0.26,0.25,0.28,36.56,1119.55
1790209260,0.25,0.25,0.25,0.25,0.25,0.27,8.93,1119.55
1790209320,0.26,0.26,0.26,0.26,0.25,0.27,17.0,1119.55
1790209380,0.21,0.21,0.21,0.21,0.18,0.2,18.07,1101.48
1790209440,,,,,0.2,0.22,0.0,1101.48
1790209500,,,,,0.22,0.25,0.0,1101.48
1790209560,,,,,0.23,0.25,0.0,1101.48
1790209620,0.26,0.26,0.26,0.26,0.23,0.26,40.0,1141.48
1790209680,,,,,0.23,0.24,0.0,1141.48
1790209740,,,,,0.2,0.21,0.0,1141.48
1790209800,0.2,0.23,0.2,0.21,0.19,0.21,58.92,1126.41
1790209860,,,,,0.25,0.26,0.0,1126.41
1790209920,,,,,0.25,0.26,0.0,1126.41
1790209980,0.26,0.32,0.26,0.32,0.29,0.31,467.0,1583.26
1790210040,0.3,0.31,0.3,0.31,0.24,0.27,7.39,1590.65
1790210100,,,,,0.24,0.26,0.0,1590.65
1790210160,0.19,0.19,0.19,0.19,0.16,0.18,103.0,1489.65
1790210220,0.21,0.21,0.19,0.21,0.2,0.22,1208.0,2617.65
1790210280,0.2,0.2,0.16,0.16,0.15,0.16,105.0,2517.65
1790210340,0.15,0.16,0.12,0.16,0.15,0.18,208.68,2456.98
1790210400,0.14,0.14,0.14,0.14,0.11,0.15,36.07,2456.98
1790210460,,,,,0.13,0.16,0.0,2456.98
1790210520,0.11,0.13,0.11,0.13,0.1,0.13,4.95,2454.03
1790210580,0.1,0.21,0.1,0.21,0.19,0.23,29.35,2452.79
1790210640,0.19,0.19,0.19,0.19,0.18,0.21,16.94,2458.35
1790210700,0.23,0.23,0.23,0.23,0.22,0.24,133.12,2591.47
1790210760,0.1,0.1,0.1,0.1,0.14,0.16,7.0,2584.47
1790210820,0.13,0.13,0.12,0.12,0.21,0.26,172.4,2451.95
1790210880,0.26,0.26,0.21,0.21,0.13,0.16,196.59,2483.34
1790210940,0.15,0.16,0.13,0.13,0.09,0.1,149.52,2626.66
1790211000,0.1,0.14,0.09,0.09,0.11,0.13,83.45,2551.11
1790211060,0.1,0.1,0.09,0.09,0.08,0.09,136.05,2552.66
1790211120,0.08,0.08,0.05,0.05,0.04,0.05,5.46,2555.66
1790211180,0.04,0.04,0.02,0.03,0.01,0.03,103.71,2534.64
1790211240,,,,,0.01,0.02,0.0,2534.64
1790211300,0.01,0.01,0.01,0.01,0.0,0.02,1.0,2535.64
1790211360,,,,,0.0,0.01,0.0,2535.64
1790211420,0.01,0.01,0.01,0.01,0.01,0.04,31.0,2535.64
1790211480,0.06,0.13,0.03,0.03,0.0,0.02,186.45,2483.94
1790211540,,,,,0.0,0.03,0.0,2483.94
1790211600,0.02,0.04,0.02,0.04,0.0,0.04,155.89,2627.93
1790211660,,,,,0.0,1.0,0.0,2627.93
