end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790179260,0.09,0.09,0.08,0.08,0.07,0.1,2.0,2.0
1790179320,0.07,0.07,0.04,0.04,0.03,0.05,54.0,56.0
1790179380,,,,,0.03,0.04,0.0,56.0
1790179440,,,,,0.03,0.05,0.0,56.0
1790179500,,,,,0.03,0.07,0.0,56.0
1790179560,0.08,0.08,0.08,0.08,0.06,0.09,11.74,67.74
1790179620,0.09,0.09,0.09,0.09,0.08,0.1,100.0,66.74
1790179680,0.1,0.1,0.1,0.1,0.08,0.11,14.11,80.85
1790179740,,,,,0.09,0.11,0.0,80.85
1790179800,,,,,0.1,0.11,0.0,80.85
1790179860,,,,,0.1,0.11,0.0,80.85
1790179920,0.11,0.11,0.11,0.11,0.1,0.12,404.0,484.85
1790179980,,,,,0.11,0.12,0.0,484.85
1790180040,0.11,0.11,0.11,0.11,0.1,0.11,100.0,584.85
1790180100,0.11,0.11,0.11,0.11,0.1,0.11,8.55,593.4
1790180160,,,,,0.1,0.11,0.0,593.4
1790180220,0.11,0.11,0.11,0.11,0.1,0.11,256.73,850.13
1790180280,0.11,0.11,0.11,0.11,0.1,0.11,108.0,958.13
1790180340,,,,,0.1,0.11,0.0,958.13
1790180400,,,,,0.1,0.11,0.0,958.13
1790180460,,,,,0.1,0.11,0.0,958.13
1790180520,,,,,0.08,0.11,0.0,958.13
1790180580,,,,,0.1,0.11,0.0,958.13
1790180640,0.11,0.11,0.11,0.11,0.1,0.11,114.0,1072.13
1790180700,0.1,0.1,0.09,0.09,0.09,0.12,816.0,1586.13
1790180760,0.12,0.12,0.12,0.12,0.09,0.12,12.0,1598.13
1790180820,,,,,0.09,0.12,0.0,1598.13
1790180880,,,,,0.11,0.12,0.0,1598.13
1790180940,,,,,0.1,0.12,0.0,1598.13
1790181000,0.11,0.12,0.1,0.12,0.11,0.12,2638.0,3992.39
1790181060,0.12,0.12,0.12,0.12,0.13,0.14,7.0,3997.39
1790181120,0.13,0.13,0.13,0.13,0.12,0.13,443.76,4425.04
1790181180,0.13,0.13,0.13,0.13,0.12,0.13,34.36,4459.4
1790181240,0.13,0.17,0.13,0.17,0.14,0.17,162.84,4622.24
1790181300,0.17,0.17,0.17,0.17,0.13,0.16,131.57,4753.81
1790181360,,,,,0.09,0.1,0.0,4753.81
1790181420,0.1,0.1,0.1,0.1,0.11,0.14,100.0,4753.81
1790181480,,,,,0.12,0.15,0.0,4753.81
1790181540,0.13,0.13,0.11,0.11,0.07,0.1,30.0,4753.81
1790181600,0.06,0.06,0.06,0.06,0.03,0.06,80.0,4673.81
1790181660,,,,,0.03,0.04,0.0,4673.81
1790181720,0.03,0.03,0.02,0.02,0.02,0.04,116.0,4559.81
1790181780,0.04,0.05,0.03,0.05,0.03,0.05,3797.0,8037.74
1790181840,0.07,0.08,0.07,0.08,0.06,0.09,102.0,8137.74
1790181900,0.06,0.06,0.06,0.06,0.06,0.07,66.53,8163.27
1790181960,0.08,0.08,0.08,0.08,0.05,0.07,15.66,8178.93
1790182020,,,,,0.02,0.04,0.0,8178.93
1790182080,0.02,0.02,0.02,0.02,0.01,0.03,91.0,8178.93
1790182140,0.01,0.01,0.01,0.01,0.0,0.02,1.0,8178.93
1790182200,,,,,0.0,0.02,0.0,8178.93
1790182260,,,,,0.01,0.02,0.0,8178.93
1790182320,,,,,0.01,0.02,0.0,8178.93
1790182380,0.01,0.01,0.01,0.01,0.01,0.02,132.0,8078.93
1790182440,0.01,0.01,0.01,0.01,0.01,0.02,32.0,8078.93
1790182500,0.01,0.01,0.01,0.01,0.01,0.02,32.0,8078.93
1790182560,0.01,0.01,0.01,0.01,0.01,0.02,74.0,8039.93
1790182620,0.01,0.01,0.01,0.01,0.0,0.01,14.0,8039.93
1790182680,,,,,0.0,0.01,0.0,8039.93
1790182740,,,,,0.0,0.01,0.0,8039.93
1790182800,,,,,0.0,0.01,0.0,8039.93
1790182860,,,,,0.0,1.0,0.0,8039.93
