end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789911060,0.48,0.58,0.44,0.46,0.45,0.46,81761.95,40981.0
1789911120,0.46,0.49,0.42,0.45,0.45,0.46,99221.61,85147.47
1789911180,0.45,0.46,0.4,0.43,0.42,0.43,68860.69,113420.04
1789911240,0.42,0.43,0.25,0.26,0.25,0.26,137930.14,184247.15
1789911300,0.25,0.25,0.12,0.13,0.12,0.13,75958.84,206192.55
1789911360,0.13,0.32,0.12,0.22,0.21,0.22,101166.92,239002.18
1789911420,0.21,0.22,0.14,0.14,0.14,0.15,65859.89,252960.46
1789911480,0.14,0.15,0.1,0.11,0.11,0.12,54686.24,268196.08
1789911540,0.11,0.17,0.091,0.11,0.1,0.11,48277.73,283245.87
1789911600,0.1,0.38,0.076,0.37,0.37,0.38,114804.13,281819.44
1789911660,0.37,0.38,0.098,0.11,0.1,0.11,96960.94,261761.25
1789911720,0.1,0.13,0.055,0.062,0.062,0.063,69954.01,279942.63
1789911780,0.063,0.24,0.036,0.16,0.16,0.17,83092.28,295957.15
1789911840,0.17,0.85,0.12,0.83,0.83,0.84,335361.81,217161.29
1789911900,0.83,0.999,0.67,0.999,0.999,1.0,382976.02,307032.28
1789911960,,,,,0.0,1.0,0.0,307032.28
