cycle,ticker,status,yes_bid,yes_ask,no_bid,no_ask,last,previous,volume,volume_24h,open_interest,close_time,quote_source
20260921T002604Z,KXBTC15M-26SEP202030-30,active,0.88,0.89,0.11,0.12,0.78,0.0,1945089.3,1181094.11,450500.49,2026-09-21T00:30:00Z,book
20260921T002604Z,KXCEOANTHROPIC-26,active,0.12,0.5,0.5,0.88,0.13,0.1,6792.62,12.0,4425.92,2027-01-01T04:59:00Z,market
20260921T002604Z,KXCPI-26SEP-T0.4,active,0.78,0.85,0.15,0.22,0.85,0.82,36963.96,2882.61,18364.17,2026-10-14T12:25:00Z,market
20260921T002604Z,KXCPI-26SEP-T0.5,active,0.61,0.63,0.37,0.39,0.6,0.61,41708.95,2975.9,26251.89,2026-10-14T12:25:00Z,market
20260921T002604Z,KXCPIYOY-26SEP-T3.5,active,0.72,0.8,0.2,0.28,0.79,0.77,32649.45,655.15,25870.72,2026-10-14T12:29:00Z,market
20260921T002604Z,KXCPIYOY-26SEP-T3.6,active,0.4,0.46,0.54,0.6,0.46,0.44,38316.22,2967.87,30480.7,2026-10-14T12:29:00Z,market
20260921T002604Z,KXETH15M-26SEP202030-30,active,0.901,0.903,0.097,0.099,0.88,0.0,73922.38,46351.28,26359.0,2026-09-21T00:30:00Z,book
20260921T002604Z,KXFDAANNOUNCE-BPC-26NOV01,active,0.04,0.09,0.91,0.96,0.09,0.09,14326.86,0.0,6576.02,2026-11-01T04:59:00Z,market
20260921T002604Z,KXFDAANNOUNCE-BPC-27JAN01,active,0.31,0.36,0.64,0.69,0.31,0.31,14214.31,0.0,4865.32,2027-01-01T04:59:00Z,market
20260921T002604Z,KXFDAAPPROVALDATENTLA-LONV-27JUL01,active,0.87,0.93,0.07,0.13,0.96,0.96,4634.76,0.0,2591.07,2027-07-01T03:59:00Z,market
20260921T002604Z,KXFDAAPPROVE-CYT-26OCT01,active,0.02,0.08,0.92,0.98,0.06,0.94,6487.31,566.43,4664.23,2026-10-01T03:59:00Z,market
20260921T002604Z,KXFDAAPPROVE-CYT-27JAN01,active,0.11,0.17,0.83,0.89,0.13,0.13,144.35,0.0,68.8,2027-01-01T04:59:00Z,market
20260921T002604Z,KXFDARETATRUTIDE-RET-27JAN01,active,0.07,0.11,0.89,0.93,0.03,0.03,25725.43,0.0,10159.73,2027-01-01T04:59:00Z,market
20260921T002604Z,KXFDARETATRUTIDE-RET-28JAN01,active,0.8,0.86,0.14,0.2,0.87,0.85,2071.46,512.74,1411.84,2028-01-01T04:59:00Z,market
20260921T002604Z,KXFED-26OCT-T4.00,active,0.58,0.59,0.41,0.42,0.58,0.58,51334.86,4693.07,28062.5,2026-10-28T17:55:00Z,market
20260921T002604Z,KXFED-26OCT-T4.25,active,0.0,0.02,0.98,1.0,0.02,0.02,14437.85,179.5,12621.7,2026-10-28T17:55:00Z,market
20260921T002604Z,KXFEDDECISION-26DEC-H25,active,0.66,0.67,0.33,0.34,0.66,0.67,102600.34,488.03,73056.02,2026-12-09T18:59:00Z,market
20260921T002604Z,KXFEDDECISION-26OCT-H25,active,0.55,0.56,0.44,0.45,0.56,0.55,468553.28,31985.59,298452.56,2026-10-28T17:59:00Z,market
20260921T002604Z,KXGOLD15M-26SEP202030-30,active,0.82,0.84,0.16,0.18,0.82,0.0,113714.5,61934.82,37454.07,2026-09-21T00:30:00Z,book
20260921T002604Z,KXGOLDH-26SEP2021-T4361.99,active,0.73,0.75,0.25,0.27,0.61,0.0,80.61,54.12,30.43,2026-09-21T01:00:00Z,market
20260921T002604Z,KXGOLDH-26SEP2021-T4371.99,active,0.19,0.22,0.78,0.81,0.24,0.0,56.99,56.99,43.34,2026-09-21T01:00:00Z,book
20260921T002604Z,KXHIGHLAX-26SEP20-B78.5,active,0.99,1.0,0.0,0.01,0.99,0.23,85395.99,82366.76,33161.0,2026-09-21T08:00:00Z,market
20260921T002604Z,KXHIGHLAX-26SEP20-B80.5,active,,0.01,0.99,,0.01,0.08,110575.98,107613.88,79287.18,2026-09-21T08:00:00Z,book
20260921T002604Z,KXHIGHLAX-26SEP20-T76,active,,0.01,0.99,,0.01,0.27,111302.36,106233.68,76785.1,2026-09-21T08:00:00Z,book
20260921T002604Z,KXHIGHNY-26SEP20-B71.5,active,,0.02,0.98,,0.04,0.21,40637.9,39065.08,21172.39,2026-09-21T05:00:00Z,book
20260921T002604Z,KXHIGHNY-26SEP20-B73.5,active,0.0,0.01,0.99,1.0,0.01,0.03,7778.07,7233.07,6075.29,2026-09-21T05:00:00Z,market
20260921T002604Z,KXHIGHNY-26SEP20-T71,active,0.98,1.0,0.0,0.02,0.98,0.76,35332.0,32148.0,19208.19,2026-09-21T05:00:00Z,market
20260921T002604Z,KXHIGHNY-26SEP21-B68.5,active,0.35,0.36,0.64,0.65,0.36,0.0,1612.47,1608.7,1358.47,2026-09-22T05:00:00Z,market
20260921T002604Z,KXHIGHNY-26SEP21-B70.5,active,0.52,0.53,0.47,0.48,0.53,0.0,1673.72,1668.72,1524.3,2026-09-22T05:00:00Z,market
20260921T002604Z,KXHIGHTATL-26SEP20-B88.5,active,0.99,1.0,0.0,0.01,0.99,0.38,22019.13,19718.3,10581.01,2026-09-21T05:00:00Z,market
20260921T002604Z,KXHIGHTATL-26SEP21-T89,active,0.03,0.04,0.96,0.97,0.03,0.0,17692.13,17674.13,1014.97,2026-09-22T05:00:00Z,market
20260921T002604Z,KXJPMCEONEW-30-JP,active,0.16,0.24,0.76,0.84,0.24,0.24,1792.72,0.0,321.0,2030-01-01T15:00:00Z,market
20260921T002604Z,KXMLBGAME-26SEP201410DETCWS-CWS,active,0.98,0.99,0.01,0.02,0.99,0.53,819284.8,794328.86,463079.89,2026-09-23T18:10:00Z,book
20260921T002604Z,KXMLBGAME-26SEP201410DETCWS-DET,active,0.01,0.02,0.98,0.99,0.01,0.48,1355260.04,1268861.64,950820.48,2026-09-23T18:10:00Z,book
20260921T002604Z,KXNCAAFGAME-26OCT03MCNSLSU-LSU,active,0.99,1.0,0.0,0.01,0.99,0.0,118879.0,118879.0,118879.0,2026-10-05T23:45:00Z,market
20260921T002604Z,KXNCAAFGAME-26OCT03MCNSLSU-MCNS,active,0.0,0.01,0.99,1.0,0.01,0.0,127373.4,127373.4,127373.4,2026-10-05T23:45:00Z,market
20260921T002604Z,KXNCAAFGAME-26SEP24LIBCCAR-LIB,active,0.55,0.56,0.44,0.45,0.56,0.27,23561.37,23497.95,22961.82,2026-09-26T23:30:00Z,book
