end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790164860,0.32,0.67,0.11,0.62,0.61,0.62,2602.9,1627.99
1790164920,0.61,0.62,0.49,0.49,0.48,0.49,2007.03,2412.26
1790164980,0.49,0.51,0.28,0.32,0.31,0.32,4028.49,3020.87
1790165040,0.31,0.31,0.12,0.16,0.14,0.15,10432.59,8384.04
1790165100,0.15,0.19,0.1,0.11,0.11,0.12,2268.87,8352.22
1790165160,0.11,0.26,0.09,0.22,0.2,0.21,3859.77,9353.26
1790165220,0.21,0.33,0.14,0.15,0.14,0.15,4779.83,8902.48
1790165280,0.15,0.26,0.13,0.25,0.25,0.26,3970.43,10699.8
1790165340,0.25,0.31,0.2,0.28,0.25,0.26,2564.31,11479.13
1790165400,0.25,0.36,0.21,0.24,0.24,0.25,14416.8,22883.63
1790165460,0.25,0.27,0.075,0.14,0.14,0.15,6536.93,24250.12
1790165520,0.14,0.15,0.022,0.023,0.024,0.025,10278.55,25434.98
1790165580,0.025,0.037,0.004,0.006,0.005,0.006,9013.38,28478.82
1790165640,0.005,0.007,0.001,0.001,0.001,0.002,5953.0,31771.11
1790165700,0.001,0.002,0.001,0.001,0.0,0.001,2828.9,33958.68
1790165760,,,,,0.0,1.0,0.0,33958.68
