end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789874160,0.48,0.68,0.25,0.28,0.27,0.28,3862.77,3614.31
1789874220,0.28,0.66,0.25,0.66,0.65,0.66,3855.98,4676.64
1789874280,0.65,0.71,0.51,0.69,0.7,0.71,3994.65,7746.62
1789874340,0.7,0.79,0.68,0.78,0.78,0.79,2222.7,8674.88
1789874400,0.78,0.88,0.76,0.88,0.87,0.88,3610.64,9387.4
1789874460,0.87,0.963,0.87,0.963,0.95,0.951,5430.92,11636.9
1789874520,0.95,0.978,0.915,0.963,0.972,0.973,12414.45,15000.69
1789874580,0.973,0.982,0.932,0.952,0.952,0.953,9036.01,18634.04
1789874640,0.953,0.971,0.925,0.958,0.962,0.964,6445.56,22652.42
1789874700,0.964,0.995,0.915,0.991,0.991,0.992,7542.97,24683.87
1789874760,0.992,0.995,0.979,0.979,0.99,0.991,4049.32,25680.39
1789874820,0.99,0.995,0.974,0.979,0.987,0.988,2764.19,26884.47
1789874880,0.987,0.996,0.96,0.996,0.995,0.996,4722.59,29175.17
1789874940,0.996,0.999,0.995,0.999,0.999,1.0,13132.62,40391.98
1789875000,0.999,0.999,0.999,0.999,0.999,1.0,8050.83,48442.81
1789875060,,,,,0.0,1.0,0.0,48442.81
