end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1790175600,0.07,0.08,0.07,0.08,0.04,0.08,11.0,11.0
1790179200,0.04,0.04,0.04,0.04,0.03,0.04,49.0,60.0
1790182800,0.03,0.03,0.03,0.03,0.03,0.05,26.43,86.43
1790186400,0.05,0.07,0.05,0.07,0.04,0.05,65.0,151.43
1790190000,,,,,0.04,0.05,0.0,151.43
1790193600,,,,,0.04,0.05,0.0,151.43
1790197200,,,,,0.04,0.05,0.0,151.43
1790200800,,,,,0.04,0.05,0.0,151.43
1790204400,,,,,0.04,0.05,0.0,151.43
1790208000,0.05,0.1,0.05,0.1,0.07,0.1,367.0,452.43
1790211600,0.07,0.07,0.07,0.07,0.07,0.08,11.76,452.43
1790215200,0.08,0.08,0.08,0.08,0.07,0.08,1.17,453.6
1790218800,0.08,0.08,0.08,0.08,0.07,0.08,6.0,459.6
1790222400,0.07,0.07,0.07,0.07,0.07,0.08,95.0,504.6
1790226000,0.07,0.07,0.05,0.05,0.04,0.05,143.0,602.86
1790229600,0.04,0.05,0.02,0.02,0.01,0.03,444.31,1029.84
1790233200,0.02,0.02,0.02,0.02,0.02,0.03,33.0,1039.84
1790236800,,,,,0.02,0.04,0.0,1039.84
1790244000,0.03,0.03,0.02,0.02,0.02,0.03,32.0,1053.18
1790247600,0.03,0.14,0.01,0.02,0.01,0.02,1566.25,1999.09
1790251200,0.02,0.02,0.02,0.02,0.01,0.02,46.79,2045.88
1790254800,0.02,0.06,0.02,0.04,0.02,0.05,214.31,2135.18
1790258400,,,,,0.02,0.03,0.0,2135.18
1790262000,0.03,0.15,0.03,0.14,0.14,0.15,929.07,2429.17
1790265600,0.15,0.28,0.06,0.27,0.25,0.28,1804.94,3693.1
1790269200,0.29,0.55,0.27,0.46,0.46,0.52,999.09,3977.05
1790272800,0.47,0.97,0.47,0.91,0.91,0.98,2337.1,5180.0
1790276400,0.94,0.99,0.93,0.98,0.97,0.99,661.91,5272.94
1790280000,0.99,0.99,0.97,0.99,0.99,1.0,1997.0,5806.57
1790283600,0.99,0.99,0.99,0.99,0.99,1.0,287.68,5900.08
1790287200,0.99,0.99,0.99,0.99,0.99,1.0,47.0,5900.08
1790301600,0.99,0.99,0.99,0.99,0.99,1.0,6.29,5900.08
1790308800,0.99,0.99,0.99,0.99,0.99,1.0,30.92,5900.08
1790312400,,,,,0.99,1.0,0.0,5900.08
1790316000,,,,,0.0,1.0,0.0,5900.08
