end_period_ts,open,high,low,close,yes_bid_close,yes_ask_close,volume,open_interest
1789830000,0.24,0.25,0.2,0.21,0.19,0.25,147.0,114.0
1789833600,0.24,0.27,0.23,0.27,0.25,0.27,193.62,291.62
1789837200,0.23,0.24,0.21,0.24,0.21,0.24,26.21,317.83
1789840800,0.24,0.25,0.2,0.24,0.23,0.25,111.35,417.86
1789844400,0.25,0.26,0.25,0.25,0.23,0.25,89.11,505.97
1789848000,0.22,0.23,0.22,0.23,0.23,0.24,24.35,527.32
1789851600,0.21,0.21,0.2,0.21,0.2,0.21,50.0,564.32
1789855200,0.2,0.24,0.2,0.21,0.21,0.22,392.0,943.32
1789858800,0.22,0.22,0.2,0.21,0.2,0.21,179.99,1089.31
1789862400,0.2,0.22,0.18,0.2,0.18,0.2,300.41,1349.72
1789866000,0.2,0.24,0.2,0.24,0.23,0.24,250.78,1585.5
1789869600,0.24,0.25,0.23,0.25,0.23,0.25,131.87,1716.37
1789873200,0.25,0.25,0.23,0.25,0.24,0.25,54.53,1768.9
1789876800,0.25,0.31,0.25,0.31,0.29,0.3,340.34,2106.48
1789880400,0.29,0.29,0.08,0.13,0.12,0.13,985.15,2924.49
1789884000,0.13,0.18,0.11,0.18,0.16,0.18,600.39,3368.01
1789887600,0.16,0.19,0.11,0.19,0.17,0.19,823.22,3967.32
1789891200,0.17,0.23,0.15,0.19,0.15,0.17,418.72,4053.04
1789894800,0.15,0.18,0.14,0.17,0.17,0.19,189.81,4210.12
1789898400,0.19,0.22,0.13,0.13,0.12,0.14,782.89,4458.93
1789902000,0.12,0.14,0.06,0.06,0.06,0.07,1080.3,4700.12
1789905600,0.07,0.17,0.07,0.1,0.1,0.13,1333.82,5579.27
1789909200,0.12,0.18,0.11,0.17,0.16,0.17,921.14,6339.48
1789912800,0.18,0.34,0.08,0.09,0.08,0.12,2901.54,8203.67
1789916400,0.1,0.15,0.07,0.13,0.12,0.13,1880.03,9171.64
1789920000,0.13,0.16,0.08,0.15,0.12,0.15,1024.55,9595.22
1789923600,0.12,0.15,0.02,0.02,0.02,0.03,5308.96,12890.18
1789927200,0.01,0.07,0.01,0.04,0.02,0.04,3501.09,13836.53
1789930800,0.04,0.07,0.01,0.06,0.03,0.05,2427.18,15313.54
1789934400,0.05,0.09,0.02,0.02,0.02,0.04,1359.55,16088.98
1789938000,0.03,0.12,0.01,0.03,0.01,0.02,4807.12,18499.43
1789941600,0.02,0.08,0.01,0.06,0.06,0.08,3140.0,19203.48
1789945200,0.06,0.12,0.01,0.04,0.02,0.04,3070.91,20546.48
1789948800,0.02,0.09,0.01,0.01,0.0,0.03,1592.63,20988.16
1789952400,0.03,0.04,0.01,0.01,0.0,0.02,394.03,21309.39
1789956000,0.02,0.07,0.01,0.07,0.01,0.03,386.85,21441.53
1789959600,0.03,0.08,0.01,0.01,0.01,0.03,859.18,21696.34
1789963200,0.01,0.04,0.01,0.04,0.01,0.04,979.78,22009.7
1789966800,0.04,0.04,0.01,0.04,0.01,0.03,949.61,22140.91
1789970400,,,,,0.0,1.0,0.0,22140.91
